Stock Name,Ticker,12 Month Sales Growth,5 Year Sales Growth,12 Month EPS Growth,5 Year EPS Growth,Last Quarter EPS Surprise %,Estimated EPS Growth Next Year
Analog Devices,ADI,9.79%,108.69%,28.86%,81.13%,11.11%,28.62%
BlackRock,BLK,-1.39%,23.80%,28.33%,36.86%,4.14%,11.98%
Lockheed Martin,LMT,8.07%,24.59%,471.55%,63.70%,9.14%,8.41%
Boston Scientific,BSX,10.94%,44.54%,5.88%,-55.00%,9.80%,12.93%
Chubb,CB,19.51%,39.05%,54.29%,56.52%,2.27%,9.80%
Anheuser-Busch,BUD,2.21%,8.06%,-78.48%,-82.65%,8.70%,14.62%
Boeing,BA,18.40%,-18.58%,-178.13%,-106.70%,20.98%,-479.70%
Medtronic,MDT,5.62%,4.91%,-20.00%,-18.52%,0.69%,7.35%
Regeneron Pharmaceuticals,REGN,10.53%,96.40%,13.79%,76.35%,-5.79%,8.78%
HDFC Bank,HDB,,,31.51%,,18.31%,16.03%
BP,BP,-28.81%,-35.66%,-78.80%,-28.57%,-5.83%,14.82%
Deere,DE,12.05%,53.29%,65.58%,266.91%,8.52%,-2.45%
Prologis,PLD,95.75%,294.50%,59.76%,111.29%,0.00%,11.99%
Marsh & McLennan,MMC,9.24%,57.36%,8.38%,99.04%,3.58%,8.06%
KLA,KLAC,-5.29%,120.11%,-7.20%,125.56%,6.48%,20.90%
Sony,SONY,20.61%,32.11%,10.67%,,25.30%,9.80%
ADP,ADP,8.48%,37.24%,26.17%,487.50%,4.35%,8.83%
Dell,DELL,-19.89%,-2.03%,-42.34%,,4.00%,29.82%
Toronto Dominion Bank,TD,78.88%,83.55%,-20.86%,6.61%,11.11%,4.61%
Cigna Group,CI,6.83%,323.22%,0.61%,49.54%,4.86%,12.15%
Palo Alto Networks,PANW,24.10%,203.14%,,,56.14%,16.33%
ICICI Bank,IBN,-3.01%,99.05%,17.24%,240.00%,-2.70%,14.00%
Airbnb,ABNB,18.06%,,75.00%,,78.26%,15.20%
Arista Networks,ANET,38.70%,180.64%,64.89%,,15.38%,12.48%
GSK,GSK,3.31%,-9.66%,141.46%,230.00%,15.96%,9.98%
Southern Copper,SCCO,-0.27%,25.23%,27.27%,34.62%,22.08%,15.40%
Mondelez,MDLZ,16.95%,39.19%,27.78%,228.57%,7.95%,6.57%
American Tower,AMT,3.64%,55.63%,-47.69%,47.83%,14.81%,3.11%
KKR,KKR,1021.41%,273.24%,,-24.19%,-2.50%,31.28%
Equinor,EQNR,-37.27%,26.12%,-71.56%,62.16%,23.08%,0.00%
Starbucks,SBUX,12.49%,45.29%,25.32%,62.30%,-13.92%,12.81%
HCA Healthcare,HCA,7.02%,37.57%,10.00%,85.71%,6.99%,10.74%
Rio Tinto,RIO,,,,,0.00%,3.22%
Southern,SO,-20.23%,2.15%,-26.21%,,14.44%,7.77%
Fiserv,FI,6.88%,234.93%,19.57%,83.33%,6.21%,15.77%
MercadoLibre,MELI,31.50%,918.25%,112.35%,,2.11%,37.83%
Sumitomo Mitsui Financial Group Inc,SMFG,-20.39%,,-52.00%,,38.46%,-100.00%
Blackstone,BX,347.33%,6.92%,,-27.52%,0.00%,26.21%
Chipotle Mexican Grill,CMG,13.62%,98.56%,33.19%,633.33%,14.96%,20.29%
Synopsys,SNPS,9.04%,79.56%,-6.88%,162.69%,1.42%,19.77%
Waste Management,WM,1.83%,36.91%,7.09%,31.30%,15.13%,9.03%
Bristol Myers Squibb,BMY,-5.56%,96.81%,50.00%,330.43%,26.67%,1094.92%
"Banco Santander, S.A",SAN,50.66%,52.28%,0.00%,33.33%,-5.26%,7.41%
RELX,RELX,,,,,0.00%,12.34%
Canadian Natural Resources,CNQ,-34.69%,27.22%,-58.30%,58.06%,-1.92%,20.32%
General Dynamics,GD,10.48%,10.52%,-1.82%,3.05%,-0.35%,12.16%
Canadian National Railway,CNI,-11.29%,7.23%,-12.67%,-4.38%,0.79%,12.54%
Gilead Sciences,GILD,5.42%,16.84%,-8.79%,-40.29%,11.41%,93.58%
Duke Energy,DUK,0.21%,16.57%,-128.07%,-145.07%,3.60%,6.20%
Amphenol,APH,-2.64%,54.13%,-2.63%,60.87%,8.11%,11.57%
Altria,MO,-0.53%,3.22%,142.86%,20.20%,-0.86%,3.72%
Cadence Design Systems,CDNS,13.88%,88.39%,19.12%,200.00%,-1.16%,21.38%
Enbridge Inc,ENB,-25.02%,-6.82%,300.00%,38.78%,15.25%,5.74%
Thomson Reuters Corp,TRI,2.04%,25.63%,,108.79%,18.09%,8.45%
Zoetis,ZTS,6.24%,54.06%,29.46%,83.54%,2.99%,9.90%
Sherwin-Williams,SHW,6.27%,30.73%,38.91%,116.20%,-3.56%,11.90%
Intercontinental Exchange,ICE,4.08%,51.52%,43.43%,82.05%,0.00%,10.91%
Colgate-Palmolive,CL,7.54%,24.09%,-16.67%,-17.81%,4.88%,8.78%
Shopify,SHOP,30.81%,591.54%,,,50.00%,50.85%
CrowdStrike,CRWD,41.97%,1364.54%,,,33.33%,59.82%
Freeport-McMoRan,FCX,5.93%,11.01%,-59.65%,-61.02%,18.52%,37.95%
Transdigm Group,TDG,24.75%,77.84%,49.76%,57.03%,9.12%,18.24%
Diageo,DEO,,,,,0.00%,3.78%
CVS Health,CVS,10.27%,89.51%,-35.37%,,-22.49%,10.54%
Trane Technologies,TT,12.27%,7.96%,18.06%,42.46%,18.29%,10.13%
McKesson,MCK,10.91%,41.58%,33.46%,,-2.52%,11.95%
Canadian Pacific Kansas City,CP,36.91%,74.07%,65.63%,125.53%,-1.43%,18.47%
CME Group,CME,9.94%,28.37%,17.58%,28.92%,2.46%,1.13%
Moody's,MCO,8.18%,27.14%,15.82%,5.67%,10.13%,14.50%
Illinois Tool Works,ITW,1.57%,6.34%,4.64%,25.89%,3.83%,6.54%
Equinix,EQIX,11.08%,59.95%,-6.75%,160.00%,15.36%,7.65%
Target,TGT,0.60%,50.90%,-5.09%,54.14%,-0.98%,12.77%
EOG Resources,EOG,-24.76%,31.50%,-30.18%,121.67%,4.44%,3.13%
Brookfield,BN,1.77%,78.28%,-91.43%,-92.68%,20.31%,38.81%
Stellantis,STLA,-18.40%,,-370.45%,,0.00%,1.02%
NXP Semiconductors,NXPI,-0.39%,44.06%,5.53%,1568.75%,2.52%,13.88%
American Noble Gas,INFY,6.38%,62.35%,0.00%,38.46%,35.29%,8.00%
British American Tobacco,BTI,,,,,0.00%,7.66%
Cintas,CTAS,10.11%,36.83%,18.86%,101.20%,7.87%,9.70%
Constellation Energy,CEG,-0.35%,,,,10.98%,13.57%
Parker-Hannifin,PH,21.68%,33.49%,448.00%,109.16%,6.72%,6.28%
Becton Dickinson,BDX,5.11%,14.03%,15.25%,-33.00%,7.09%,9.13%
Northrop Grumman,NOC,8.81%,34.51%,-11.88%,18.67%,8.40%,11.94%
Ecolab,ECL,7.58%,4.40%,6.48%,-4.17%,0.75%,12.14%
Marriott,MAR,13.81%,12.31%,15.53%,27.27%,-1.84%,13.85%
Apollo Global Management,APO,499.39%,2518.28%,,300.00%,-12.28%,20.72%
CSX,CSX,-3.04%,19.25%,-9.26%,44.12%,2.22%,11.22%
PayPal Holdings,PYPL,7.07%,88.93%,,109.09%,18.48%,9.93%
Schlumberger,SLB,19.58%,-2.46%,7.46%,132.26%,1.35%,20.51%
Banco Bilbao Viscaya Argentaria S.A,BBVA,20.85%,12.48%,33.33%,100.00%,14.29%,3.14%
Bank Of Montreal,BMO,92.31%,109.97%,-2.63%,-16.38%,-4.98%,11.63%
Emerson Electric,EMR,13.88%,-11.45%,957.14%,1353.57%,7.94%,8.04%
U.S Bancorp,USB,60.87%,61.14%,-15.15%,-17.65%,1.12%,10.16%
PNC Financial Services,PNC,44.54%,54.76%,-0.88%,23.53%,8.74%,12.35%
ING Group,ING,21.80%,,5.13%,,0.00%,8.12%
FedEx,FDX,-10.10%,26.66%,179.17%,44.60%,10.60%,15.10%
Marathon Petroleum,MPC,-32.44%,62.85%,-51.42%,134.36%,9.88%,-13.47%
Welltower,WELL,13.10%,47.92%,0.00%,-51.22%,7.45%,11.44%
Enterprise Products Partners,EPD,-33.68%,25.79%,-10.94%,83.87%,3.13%,5.90%
Aon,AON,6.50%,24.05%,16.31%,1326.32%,-3.41%,13.05%
Motorola Solutions,MSI,12.29%,36.53%,61.65%,104.76%,12.78%,8.20%
Phillips 66,PSX,-27.76%,21.08%,-43.03%,30.99%,-7.32%,19.41%
Marvell Technology,MRVL,-8.65%,118.60%,,-180.00%,14.29%,126.03%
Air Products And Chemicals,APD,-4.87%,34.30%,1.91%,24.19%,4.78%,10.24%
Republic Services,RSG,9.15%,47.98%,15.38%,90.14%,5.84%,10.41%
Bank Of Nova Scotia,BNS,56.39%,69.02%,-25.73%,-4.51%,1.75%,6.85%
"America Movil, S.A.B De C.V",AMX,-11.61%,,112.50%,,-40.48%,26.95%
NetEase,NTES,-1.85%,61.41%,43.81%,738.89%,-2.98%,12.18%
Roper Technologies,ROP,16.81%,18.36%,34.92%,55.25%,1.61%,8.26%
Carrier Global,CARR,14.99%,,-65.67%,,24.00%,6.67%
O'Reilly Automotive,ORLY,10.85%,65.67%,16.40%,138.79%,0.22%,10.59%
Nu Holdings,NU,61.43%,,,,0.00%,51.22%
Spotify Technology,SPOT,13.66%,128.18%,,,66.67%,41.42%
PACCAR,PCAR,24.06%,52.99%,70.07%,119.81%,4.61%,8.84%
CRH,CRH,,,,,66.67%,9.89%
Workday,WDAY,16.34%,166.00%,,,64.52%,47.16%
Coinbase Global,COIN,-12.42%,,,,58.65%,-32.93%
Occidental Petroleum,OXY,-37.22%,64.14%,-81.84%,-42.73%,16.07%,28.53%
3M,MMM,-4.33%,-0.77%,-8921.43%,-502.28%,14.90%,8.30%
Arthur J Gallagher,AJG,19.53%,47.07%,-19.55%,72.58%,2.65%,11.93%
Moderna,MRNA,-92.76%,1092.37%,-169.08%,,14.48%,-28.92%
Monster Beverage,MNST,12.06%,82.60%,50.00%,62.50%,-4.55%,14.12%
VALE S.A,VALE,-13.30%,12.44%,-84.85%,-33.33%,-7.14%,-1.38%
Pacific Gas & Electric,PCG,3.36%,24.94%,11.76%,,5.71%,8.89%
Eni SpA,E,-36.18%,-3.86%,-92.54%,-79.52%,-14.75%,-3.34%
Interactive Brokers,IBKR,52.44%,124.72%,66.67%,110.53%,0.61%,-0.31%
Energy Transfer LP,ET,-29.39%,29.76%,-35.90%,-19.35%,-11.11%,13.10%
Suncor Energy,SU,-31.33%,7.83%,-52.25%,130.43%,16.67%,2.49%
Edwards Lifesciences,EW,11.38%,62.15%,-23.08%,13.64%,3.13%,12.27%
Capital One Financial,COF,36.95%,46.47%,-29.03%,-5.12%,-1.23%,21.79%
American,AIG,-3.26%,13.64%,-40.82%,99.02%,6.63%,15.94%
Microchip Technology,MCHP,21.07%,122.74%,42.86%,243.75%,0.00%,67.23%
MetLife,MET,7.43%,-21.53%,-55.56%,-42.17%,0.00%,13.69%
Valero Energy,VLO,-33.18%,11.27%,-53.33%,175.51%,20.13%,-16.78%
General Motors,GM,25.13%,21.72%,60.53%,10.24%,25.96%,1.17%
Aflac,AFL,-2.69%,-7.46%,24.88%,153.27%,5.06%,6.81%
Copart,CPRT,8.71%,113.68%,24.14%,176.92%,2.63%,12.59%
Norfolk Southern,NSC,-8.31%,2.83%,-54.78%,-37.60%,-3.49%,14.48%
Williams,WMB,-0.28%,18.75%,15.15%,137.50%,20.41%,8.65%
Truist Financial,TFC,43.03%,163.34%,-15.60%,-7.07%,15.38%,13.81%
Hilton Worldwide Holdings,HLT,18.75%,16.11%,17.42%,118.31%,8.51%,16.36%
Travelers,TRV,10.53%,35.05%,-103.08%,-103.65%,-1.26%,14.33%
Simon Property,SPG,7.01%,-1.12%,-1.32%,-15.82%,27.14%,-3.35%
Sempra Energy,SRE,-5.98%,53.33%,7.87%,,-0.74%,6.67%
D.R Horton,DHI,10.67%,119.28%,-16.49%,230.51%,14.29%,8.13%
Johnson Controls,JCI,7.85%,13.55%,178.18%,96.15%,4.00%,13.93%
Ford Motor,F,11.85%,15.50%,193.75%,74.07%,16.67%,-0.51%
Newmont,NEM,-12.26%,61.43%,-61.22%,-64.81%,57.14%,32.91%
Palantir Technologies,PLTR,12.75%,,,,0.00%,37.50%
GE Vernova,GEV,,,,,-70.83%,67.44%
Public Storage,PSA,8.50%,63.34%,-12.28%,50.00%,-0.98%,4.49%
AutoZone,AZO,5.83%,53.77%,17.53%,154.25%,10.77%,7.99%
American Electric Power,AEP,-5.76%,8.95%,-0.98%,-5.61%,-2.31%,5.90%
Hess,HES,-22.36%,48.15%,-81.86%,,82.66%,16.96%
ONEOK,OKE,-37.76%,26.06%,13.04%,52.94%,-3.54%,8.54%
DexCom,DXCM,25.15%,259.30%,133.33%,211.11%,18.52%,25.28%
Ross Stores,ROST,3.73%,25.25%,12.37%,-1.80%,8.96%,9.06%
Canadian Imperial Bank Of Commerce,CM,68.68%,112.98%,-20.29%,-4.35%,5.74%,3.97%
JD,JD,-6.42%,121.62%,,235.29%,30.36%,9.09%
Manulife Financial Corp,MFC,,-16.52%,-11.90%,-21.28%,6.06%,8.03%
Keurig Dr Pepper,KDP,6.61%,299.26%,140.00%,260.00%,11.76%,7.33%
Realty Income,O,25.76%,209.89%,-21.62%,-14.71%,0.00%,3.34%
TE Connectivity,TEL,-2.42%,11.64%,-8.74%,29.46%,1.64%,10.00%
Constellation Brands Inc,STZ,6.42%,22.85%,-59.56%,-78.04%,7.62%,10.40%
Snowflake,SNOW,47.64%,,,,-83.33%,4.41%
Digital Realty Trust,DLR,19.92%,80.98%,94.74%,15.63%,2.45%,9.19%
Trade Desk,TTD,23.16%,313.29%,,75.00%,0.00%,32.53%
Fortinet,FTNT,25.50%,192.95%,57.14%,450.00%,25.81%,10.27%
W.W Grainger,GWW,8.99%,46.17%,29.07%,123.08%,0.42%,10.24%
Cencora,COR,11.46%,55.18%,22.40%,88.00%,4.11%,9.67%
Dominion Energy,D,5.51%,22.86%,,0.00%,7.84%,22.55%
DoorDash,DASH,32.65%,,,,14.29%,990.91%
Kimberly-Clark,KMB,1.40%,11.51%,-76.74%,-76.92%,24.84%,4.98%
Lennar,LEN,-3.75%,47.37%,-32.96%,220.21%,16.29%,12.38%
Bank Of New York Mellon,BK,86.93%,79.64%,26.21%,26.21%,8.40%,9.91%
United Rentals,URI,28.26%,87.94%,24.35%,168.13%,9.58%,7.87%
Lloyds Banking Group,LYG,,,,,0.00%,15.63%
Crown Castle,CCI,7.67%,40.38%,8.25%,191.67%,5.52%,-3.04%
Estee Lauder,EL,1.35%,9.53%,-147.06%,-116.33%,102.08%,86.94%
Allstate,ALL,14.40%,38.42%,,-376.96%,24.82%,14.39%
Alcon,ALC,9.25%,,13.33%,1033.33%,8.33%,14.43%
Super Micro Computer,SMCI,33.59%,122.57%,29.66%,568.63%,21.03%,43.44%
Autodesk,ADSK,8.84%,137.99%,237.50%,,3.85%,17.29%
Ares Management,ARES,81.78%,435.51%,252.38%,,-13.98%,35.70%
Ameriprise Financial,AMP,11.19%,21.28%,52.89%,164.84%,3.58%,9.30%
Kinder Morgan,KMI,-32.03%,2.13%,-7.14%,,3.03%,1.68%
Paychex,PAYX,7.45%,45.39%,18.29%,59.02%,1.47%,5.52%
Prudential Financial,PRU,18.49%,-7.89%,,200.00%,-1.27%,8.28%
Humana,HUM,13.04%,87.58%,39.78%,451.08%,20.10%,22.70%
National Grid Transco,NGG,,,,,0.00%,4.78%
Kraft Heinz,KHC,2.55%,0.46%,285.71%,30.65%,1.47%,5.30%
Barclays,BCS,-6.56%,3.70%,34.38%,10.26%,15.56%,23.75%
L3Harris Technologies Inc,LHX,13.49%,215.18%,-24.38%,,5.88%,10.47%
Waste Connections,WCN,11.27%,63.00%,-6.90%,55.77%,1.96%,13.61%
Takeda Pharmaceutical,TAK,-2.54%,,,,0.00%,15.60%
Fidelity National Information Services,FIS,0.73%,77.87%,-2575.56%,-1840.63%,14.58%,9.27%
Ferguson,FERG,-1.98%,,-36.00%,,-5.95%,10.27%
Charter Communications,CHTR,0.45%,25.84%,-8.52%,600.00%,-0.53%,3.22%
MPLX LP,MPLX,-8.50%,70.47%,9.64%,65.45%,-1.01%,7.98%
IDEXX Laboratories,IDXX,9.65%,62.48%,71.15%,117.07%,4.85%,13.96%
Atlassian,TEAM,23.59%,280.83%,,,171.43%,4.35%
Lennar,LEN.B,-3.75%,47.37%,-32.96%,220.21%,0.00%,
Coupang,CPNG,15.88%,,,,-16.67%,102.94%
Dow,DOW,-27.09%,,-69.91%,-61.80%,19.15%,45.90%
Nucor,NUE,-19.26%,47.40%,-39.92%,172.77%,-4.42%,2.55%
Quanta Services,PWR,19.30%,90.06%,89.83%,133.33%,12.84%,14.82%
Otis Worldwide,OTIS,6.65%,,18.42%,,1.15%,10.57%
Hershey,HSY,4.96%,42.17%,30.07%,84.26%,12.04%,0.94%
IQVIA Holdings,IQV,5.28%,45.23%,18.66%,448.28%,5.02%,12.76%
Block,SQ,25.67%,579.19%,,,213.33%,80.95%
Lululemon Athletica Inc,LULU,24.01%,207.95%,54.05%,314.55%,5.59%,11.21%
AMETEK,AME,8.69%,36.16%,14.75%,68.67%,3.14%,9.22%
MSCI Inc,MSCI,12.57%,71.09%,19.31%,141.41%,2.33%,13.17%
General Mills,GIS,2.84%,29.30%,-23.70%,74.58%,12.50%,2.88%
Corteva,CTVA,-3.31%,,-24.81%,,12.66%,22.70%
Yum! Brands,YUM,3.12%,23.32%,89.61%,50.52%,-4.17%,12.06%
Cenovus Energy Inc,CVE,-39.38%,101.28%,-64.52%,,31.43%,11.71%
Sea,SE,5.20%,2384.48%,,,-150.00%,14.93%
TC Energy,TRP,0.02%,15.05%,-74.29%,-73.53%,10.84%,0.67%
Haleon,HLN,,,,,9.09%,10.87%
Arch Capital Group,ACGL,42.82%,124.13%,68.27%,212.50%,18.93%,5.26%
Cummins,CMI,31.16%,40.87%,2.23%,52.11%,-0.20%,18.39%
Agilent Technologies,A,6.85%,42.37%,12.09%,61.90%,2.52%,13.85%
Centene,CNC,4.65%,165.20%,,156.00%,8.13%,10.85%
Old Dominion Freight Line,ODFL,-15.25%,36.74%,-19.39%,101.52%,0.75%,18.44%
Royal Caribbean Cruises,RCL,61.29%,50.71%,,-22.37%,35.11%,15.16%
STMicroelectronics,STM,19.77%,90.79%,39.24%,323.08%,-8.47%,38.50%
Kroger,KR,1.27%,19.73%,46.67%,-44.30%,18.58%,4.74%
Fastenal,FAST,5.88%,48.52%,4.00%,40.54%,-1.89%,8.53%
Public Service Enterprise Group,PEG,16.62%,20.09%,353.85%,122.64%,-0.76%,10.08%
Exelon,EXC,13.66%,-40.34%,-27.66%,-39.29%,-1.43%,7.82%
Ingersoll Rand,IR,17.13%,152.39%,29.41%,51.72%,13.43%,7.23%
Kenvue,KVUE,5.44%,,-34.29%,,12.00%,6.78%
Datadog,DDOG,25.44%,,,,500.00%,18.52%
Vertiv Holdings,VRT,23.92%,,340.00%,,16.22%,29.34%
Sysco,SYY,4.07%,28.81%,45.45%,71.43%,1.05%,6.74%
Cheniere Energy,LNG,-48.77%,165.85%,93.45%,,-7.39%,19.12%
Verisk Analytics,VRSK,10.15%,12.26%,8.87%,48.35%,7.24%,10.99%
NatWest Group,NWG,19.08%,,300.00%,,13.04%,10.31%
